生物科学,62,49,53,28,41,59,80,22,9,22,425
历史、地理,1273,1119,1089,1415,1030,559,1312,452,165,496,8910
自然科学总论,58,38,26,21,19,22,47,9,9,11,260
政治、法律,303,247,252,299,175,130,254,98,31,86,1875
数理科学和化学,41,33,28,26,28,33,47,12,17,15,280
社会科学理论,414,476,507,579,431,493,434,275,59,186,3854
综合性图书,75,64,86,40,74,53,109,32,15,37,585
天文,35,53,39,30,40,54,64,17,6,16,354
医药、卫生,437,522,600,659,548,395,649,243,76,237,4366
马列主义、毛泽东思想,7,10,22,5,11,4,18,12,0,4,93
语言、文学,189,168,147,123,125,117,156,40,27,78,1170
农业科学,38,28,20,18,30,32,56,15,9,16,262
经济,748,851,827,1306,864,701,1077,477,169,7385
军事,131,160,144,66,90,74,168,52,19,41,945
航空、航天,10,16,6,8,19,8,32,9,1,3,112
文学,4541,3846,4438,5338,4301,2673,3308,1767,764,1871,32847
工业技术,347,379,354,311,269,262,367,118,49,132,2588
文体、科学、教育,589,509,529,705,566,346,604,299,87,250,4484
哲学,1094,1181,1153,1341,1144,1004,1029,484,143,479,9052
艺术,255,216,175,186,209,164,228,76,37,111,1657
交通运输,40,29,40,32,34,16,27,8,2,20,248
环境科学、安全科学,27,23,27,24,18,47,35,10,9,24,244
